,SDO_ID,Longitude,Latitude
81,2252,14.745653,50.899046
82,2925,10.312345,51.393291
83,4857,9.609701,53.553446
84,7419,12.075595,50.661008
85,555,7.269714,51.478883
86,3167,7.96026,50.662059
87,3031,8.39445,51.633617
88,1544,11.394131,52.512914
89,7106,8.456493,52.071449
90,6273,11.855089,52.507485
91,1050,13.847006,51.022068
92,1224,7.83505,48.137773
93,817,8.814579,51.030634
94,3362,8.873462,48.972073
95,3442,8.750637,50.357372
96,2928,12.446226,51.315067
97,4928,9.200028,48.828085
98,167,13.684647,53.84119
99,5397,12.184448,49.666221
100,7403,10.032433,47.795509
101,5097,12.767516,54.066058
102,7369,10.366126,49.162297
103,1107,10.499124,49.851954
104,2564,10.142375,54.377582
105,427,13.530609,52.380698
106,2542,10.600653,47.865204
107,5643,12.494905,53.186438
108,3379,11.542893,48.163202
109,704,9.13903,53.445118
110,198,11.291977,51.374461
111,3612,9.22291,52.671083
112,4997,12.341909,50.977086
113,7099,10.396557,52.011142
114,1964,6.38211,49.944479
115,2483,8.489068,51.180254
116,5100,6.658296,49.747883
117,5064,6.443651,51.289722
118,4445,10.65328,51.765838
119,71,8.978387,48.21555
120,6217,6.935134,49.240557
121,6314,13.300254,51.050698
122,2712,9.130698,47.695219
123,1863,9.185383,50.266701
124,1346,8.003817,47.874893
125,4175,7.772105,47.558997
126,5371,9.942739,50.497277
127,4704,9.740431,47.577601
128,6259,9.603252,49.021043
129,2578,11.434142,53.999513
130,6336,9.654033,50.0132
131,232,10.941681,48.425292
132,1666,9.5058,54.8273
133,2932,12.239622,51.43479
134,403,13.301731,52.453711
135,1735,13.629026,48.78935
136,5280,10.226738,53.922412
137,3083,13.879699,51.926689
138,2905,10.850732,48.184905
139,78,7.912553,52.485314
140,1207,12.274171,50.27046
141,3836,10.221065,50.453837
142,2174,10.369512,51.625476
143,3231,10.377105,50.561159
144,5640,7.667164,53.550377
145,150,8.116356,49.7273
146,1078,6.768648,51.295952
147,3660,6.869659,50.360166
148,3591,6.423998,50.674261
149,2044,11.136687,51.651998
150,131,12.932593,51.088078
151,13670,6.701773,51.508794
152,3234,13.432783,51.129431
153,1468,8.408952,48.453828
154,1297,10.013767,51.204132
155,3734,9.352501,49.128011
156,4480,9.553369,50.344653
157,4280,11.103514,49.216232
158,5229,8.460769,48.045325
159,591,10.68781,53.391093
160,5538,11.157584,47.882679
161,73,13.050637,48.615918
162,5349,12.665404,53.519622
163,7395,12.538816,48.659461
164,1279,11.007445,49.649744
165,3032,8.412531,55.010989
166,1869,13.933754,53.315317
167,2600,10.178126,49.736318
168,3904,6.378874,49.535353
169,6170,14.725443,52.019183
170,3571,11.863809,49.817385
171,891,8.705821,53.871254
172,1411,10.048014,50.530884
173,4878,10.881071,51.664645
174,4275,9.339751,53.128845
175,760,9.943536,53.362898
176,6272,10.251823,50.842611
177,7432,10.662715,52.642293
178,2385,7.326355,49.692727
179,2667,7.157488,50.864559
180,5871,7.264495,49.946281
181,5717,7.105176,51.225598
182,5490,10.768627,51.845421
183,755,9.32127,49.518196
184,1975,9.988085,53.633187
185,7393,14.253251,51.449321
186,2886,9.909652,48.217625
